group,sbs
MMR_deficiency_signatures,SBS6
MMR_deficiency_signatures,SBS14
MMR_deficiency_signatures,SBS15
MMR_deficiency_signatures,SBS20
MMR_deficiency_signatures,SBS21
MMR_deficiency_signatures,SBS26
MMR_deficiency_signatures,SBS44
POL_deficiency_signatures,SBS10a
POL_deficiency_signatures,SBS10b
POL_deficiency_signatures,SBS10c
POL_deficiency_signatures,SBS10d
POL_deficiency_signatures,SBS28
HR_deficiency_signatures,SBS3
BER_deficiency_signatures,SBS30
BER_deficiency_signatures,SBS36
Chemotherapy_signatures,SBS11
Chemotherapy_signatures,SBS25
Chemotherapy_signatures,SBS31
Chemotherapy_signatures,SBS35
Chemotherapy_signatures,SBS86
Chemotherapy_signatures,SBS87
Chemotherapy_signatures,SBS90
Chemotherapy_signatures,SBS99
Immunosuppressants_signatures,SBS32
Treatment_signatures,SBS11
Treatment_signatures,SBS25
Treatment_signatures,SBS31
Treatment_signatures,SBS32
Treatment_signatures,SBS35
Treatment_signatures,SBS86
Treatment_signatures,SBS87
Treatment_signatures,SBS90
Treatment_signatures,SBS99
APOBEC_signatures,SBS2
APOBEC_signatures,SBS13
Tobacco_signatures,SBS4
Tobacco_signatures,SBS29
Tobacco_signatures,SBS92
UV_signatures,SBS7a
UV_signatures,SBS7b
UV_signatures,SBS7c
UV_signatures,SBS7d
UV_signatures,SBS38
AA_signatures,SBS22a
AA_signatures,SBS22b
Colibactin_signatures,SBS88
Artifact_signatures,SBS27
Artifact_signatures,SBS43
Artifact_signatures,SBS45
Artifact_signatures,SBS46
Artifact_signatures,SBS47
Artifact_signatures,SBS48
Artifact_signatures,SBS49
Artifact_signatures,SBS50
Artifact_signatures,SBS51
Artifact_signatures,SBS52
Artifact_signatures,SBS53
Artifact_signatures,SBS54
Artifact_signatures,SBS55
Artifact_signatures,SBS56
Artifact_signatures,SBS57
Artifact_signatures,SBS58
Artifact_signatures,SBS59
Artifact_signatures,SBS60
Artifact_signatures,SBS95
Lymphoid_signatures,SBS9
Lymphoid_signatures,SBS84
Lymphoid_signatures,SBS85
